,index,id,gameType,gameDate,gameState,awayTeam.id,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.abbrev,homeTeam.score,winner_id,loser_id,is_cup_game,is_next_game
176,367,2024020071,2,2024-10-17,FUT,4,PHI,,55,SEA,,0,0,False,False
177,191,2024020072,2,2024-10-18,FUT,12,CAR,,5,PIT,,0,0,False,False
178,2401,2024020073,2,2024-10-18,FUT,28,SJS,,52,WPG,,0,0,False,False
179,898,2024020074,2,2024-10-18,FUT,24,ANA,,21,COL,,0,0,False,False
180,279,2024020075,2,2024-10-19,FUT,14,TBL,,9,OTT,,0,0,False,False
181,12,2024020076,2,2024-10-19,FUT,17,DET,,18,NSH,,0,0,False,False
182,1251,2024020077,2,2024-10-19,FUT,22,EDM,,25,DAL,,0,0,False,False
183,1163,2024020078,2,2024-10-19,FUT,54,VGK,,13,FLA,,0,0,False,False
184,1426,2024020079,2,2024-10-19,FUT,3,NYR,,10,TOR,,0,0,False,False
185,721,2024020080,2,2024-10-19,FUT,15,WSH,,1,NJD,,0,0,False,False
186,635,2024020081,2,2024-10-19,FUT,8,MTL,,2,NYI,,0,0,False,False
187,368,2024020082,2,2024-10-19,FUT,23,VAN,,4,PHI,,0,0,False,False
188,1694,2024020083,2,2024-10-19,FUT,30,MIN,,29,CBJ,,0,0,False,False
189,456,2024020084,2,2024-10-19,FUT,12,CAR,,19,STL,,0,0,False,False
190,1339,2024020085,2,2024-10-19,FUT,7,BUF,,16,CHI,,0,0,False,False
191,102,2024020086,2,2024-10-19,FUT,6,BOS,,59,UTA,,0,0,False,False
192,546,2024020087,2,2024-10-19,FUT,20,CGY,,55,SEA,,0,0,False,False
193,192,2024020088,2,2024-10-20,FUT,5,PIT,,52,WPG,,0,0,False,False
194,899,2024020089,2,2024-10-20,FUT,21,COL,,28,SJS,,0,0,False,False
195,1074,2024020090,2,2024-10-20,FUT,26,LAK,,24,ANA,,0,0,False,False
196,280,2024020091,2,2024-10-21,FUT,14,TBL,,10,TOR,,0,0,False,False
197,369,2024020092,2,2024-10-22,FUT,15,WSH,,4,PHI,,0,0,False,False
198,1519,2024020093,2,2024-10-22,FUT,30,MIN,,13,FLA,,0,0,False,False
199,281,2024020094,2,2024-10-22,FUT,14,TBL,,1,NJD,,0,0,False,False
200,1252,2024020095,2,2024-10-22,FUT,25,DAL,,7,BUF,,0,0,False,False
201,636,2024020096,2,2024-10-22,FUT,3,NYR,,8,MTL,,0,0,False,False
202,2227,2024020097,2,2024-10-22,FUT,10,TOR,,29,CBJ,,0,0,False,False
203,13,2024020098,2,2024-10-22,FUT,17,DET,,2,NYI,,0,0,False,False
204,1785,2024020099,2,2024-10-22,FUT,52,WPG,,19,STL,,0,0,False,False
205,811,2024020100,2,2024-10-22,FUT,23,VAN,,16,CHI,,0,0,False,False
206,103,2024020101,2,2024-10-22,FUT,6,BOS,,18,NSH,,0,0,False,False
207,193,2024020102,2,2024-10-22,FUT,5,PIT,,20,CGY,,0,0,False,False
208,457,2024020103,2,2024-10-22,FUT,12,CAR,,22,EDM,,0,0,False,False
209,2138,2024020104,2,2024-10-22,FUT,9,OTT,,59,UTA,,0,0,False,False
210,1075,2024020105,2,2024-10-22,FUT,28,SJS,,24,ANA,,0,0,False,False
211,900,2024020106,2,2024-10-22,FUT,21,COL,,55,SEA,,0,0,False,False
212,1164,2024020107,2,2024-10-22,FUT,26,LAK,,54,VGK,,0,0,False,False
213,370,2024020108,2,2024-10-23,FUT,4,PHI,,15,WSH,,0,0,False,False
214,104,2024020109,2,2024-10-24,FUT,25,DAL,,6,BOS,,0,0,False,False
215,1786,2024020110,2,2024-10-24,FUT,19,STL,,10,TOR,,0,0,False,False
