,index,id,gameType,gameDate,gameState,awayTeam.id,awayTeam.abbrev,awayTeam.score,homeTeam.id,homeTeam.abbrev,homeTeam.score,winner_id,loser_id,is_cup_game,is_next_game
172,988,2023020062,2,2023-10-19,OFF,6,BOS,3.0,28,SJS,1.0,6,28,False,False
173,458,2023020063,2,2023-10-20,OFF,20,CGY,1.0,29,CBJ,3.0,29,20,False,False
174,99,2023020064,2,2023-10-20,OFF,1,NJD,5.0,2,NYI,4.0,1,2,False,False
175,1704,2023020065,2,2023-10-21,OFF,17,DET,5.0,9,OTT,2.0,17,9,False,False
176,2324,2023020066,2,2023-10-21,OFF,24,ANA,1.0,53,ARI,2.0,53,24,False,False
177,1791,2023020067,2,2023-10-21,OFF,2,NYI,1.0,7,BUF,3.0,7,2,False,False
178,637,2023020068,2,2023-10-21,OFF,23,VAN,5.0,13,FLA,3.0,23,13,False,False
179,1967,2023020069,2,2023-10-21,OFF,15,WSH,2.0,8,MTL,3.0,8,15,False,False
180,190,2023020070,2,2023-10-21,OFF,10,TOR,4.0,14,TBL,3.0,10,14,False,False
181,12,2023020071,2,2023-10-21,OFF,54,VGK,5.0,16,CHI,3.0,54,16,False,False
182,546,2023020072,2,2023-10-21,OFF,4,PHI,4.0,25,DAL,5.0,25,4,False,False
183,1169,2023020073,2,2023-10-21,OFF,29,CBJ,5.0,30,MIN,4.0,29,30,False,False
184,1881,2023020074,2,2023-10-21,OFF,28,SJS,1.0,18,NSH,5.0,18,28,False,False
185,1434,2023020075,2,2023-10-21,OFF,5,PIT,2.0,19,STL,4.0,19,5,False,False
186,368,2023020076,2,2023-10-21,OFF,12,CAR,4.0,21,COL,6.0,21,12,False,False
187,280,2023020077,2,2023-10-21,OFF,52,WPG,3.0,22,EDM,2.0,52,22,False,False
188,1257,2023020078,2,2023-10-21,OFF,3,NYR,4.0,55,SEA,1.0,3,55,False,False
189,989,2023020079,2,2023-10-21,OFF,6,BOS,4.0,26,LAK,2.0,6,26,False,False
190,459,2023020080,2,2023-10-22,OFF,20,CGY,2.0,17,DET,6.0,17,20,False,False
191,990,2023020081,2,2023-10-22,OFF,6,BOS,3.0,24,ANA,1.0,6,24,False,False
192,2058,2023020082,2,2023-10-23,OFF,8,MTL,3.0,7,BUF,1.0,8,7,False,False
193,191,2023020083,2,2023-10-24,OFF,10,TOR,4.0,15,WSH,1.0,10,15,False,False
194,1615,2023020084,2,2023-10-24,OFF,24,ANA,3.0,29,CBJ,2.0,24,29,False,False
195,1705,2023020085,2,2023-10-24,OFF,7,BUF,6.0,9,OTT,4.0,7,9,False,False
196,727,2023020086,2,2023-10-24,OFF,12,CAR,0.0,14,TBL,3.0,14,12,False,False
197,100,2023020087,2,2023-10-24,OFF,1,NJD,5.0,8,MTL,2.0,1,8,False,False
198,547,2023020088,2,2023-10-24,OFF,25,DAL,4.0,5,PIT,1.0,25,5,False,False
199,638,2023020089,2,2023-10-24,OFF,28,SJS,1.0,13,FLA,3.0,13,28,False,False
200,369,2023020090,2,2023-10-24,OFF,21,COL,7.0,2,NYI,4.0,21,2,False,False
201,1347,2023020091,2,2023-10-24,OFF,55,SEA,5.0,17,DET,4.0,55,17,False,False
202,991,2023020092,2,2023-10-24,OFF,6,BOS,3.0,16,CHI,0.0,6,16,False,False
203,903,2023020093,2,2023-10-24,OFF,19,STL,2.0,52,WPG,4.0,52,19,False,False
204,281,2023020094,2,2023-10-24,OFF,22,EDM,4.0,30,MIN,7.0,30,22,False,False
205,1882,2023020095,2,2023-10-24,OFF,23,VAN,3.0,18,NSH,2.0,23,18,False,False
206,460,2023020096,2,2023-10-24,OFF,3,NYR,3.0,20,CGY,1.0,3,20,False,False
207,1082,2023020097,2,2023-10-24,OFF,53,ARI,3.0,26,LAK,6.0,26,53,False,False
208,13,2023020098,2,2023-10-24,OFF,4,PHI,2.0,54,VGK,3.0,54,4,False,False
209,101,2023020099,2,2023-10-25,OFF,15,WSH,6.0,1,NJD,4.0,15,1,False,False
210,992,2023020100,2,2023-10-26,OFF,24,ANA,4.0,6,BOS,3.0,24,6,False,False
211,728,2023020101,2,2023-10-26,OFF,55,SEA,2.0,12,CAR,3.0,12,55,False,False
212,904,2023020102,2,2023-10-26,OFF,52,WPG,4.0,17,DET,1.0,52,17,False,False
213,1616,2023020103,2,2023-10-26,OFF,29,CBJ,3.0,8,MTL,4.0,8,29,False,False
214,1171,2023020104,2,2023-10-26,OFF,30,MIN,2.0,4,PHI,6.0,4,30,False,False
